precision,recall,F1,method,data
0.6546184738955824,0.27166666666666667,0.38398115429917556,Chang,cbf-combined-diff-1
0.6558704453441295,0.27,0.38252656434474613,decomp+Chang,cbf-combined-diff-1
0.056282722513089,0.07166666666666667,0.06304985337243402,decomp+IQR,cbf-combined-diff-1
0.18935516888433981,0.30833333333333335,0.23462270133164237,decomp+Chang+IQR,cbf-combined-diff-1
0.07272727272727272,0.005714285714285714,0.010596026490066225,Chang,cbf-combined-diff-2
0.07272727272727272,0.005714285714285714,0.010596026490066225,decomp+Chang,cbf-combined-diff-2
0,0,0,decomp+IQR,cbf-combined-diff-2
0.0058823529411764705,0.005714285714285714,0.005797101449275363,decomp+Chang+IQR,cbf-combined-diff-2
0.057692307692307696,0.05714285714285714,0.057416267942583726,Chang,cbf-combined-diff-3
0.03482587064676617,0.06666666666666667,0.04575163398692811,decomp+Chang,cbf-combined-diff-3
0,0,0,decomp+IQR,cbf-combined-diff-3
0.03482587064676617,0.06666666666666667,0.04575163398692811,decomp+Chang+IQR,cbf-combined-diff-3
0.018518518518518517,0.01,0.012987012987012986,Chang,cbf-diff-count-1
0.02830188679245283,0.03,0.02912621359223301,decomp+Chang,cbf-diff-count-1
0,0,0,decomp+IQR,cbf-diff-count-1
0.008379888268156424,0.03,0.013100436681222707,decomp+Chang+IQR,cbf-diff-count-1
0.008849557522123894,0.009900990099009901,0.009345794392523362,Chang,cbf-diff-count-2
0.005780346820809248,0.009900990099009901,0.007299270072992701,decomp+Chang,cbf-diff-count-2
0.006172839506172839,0.009900990099009901,0.007604562737642584,decomp+IQR,cbf-diff-count-2
0.0030303030303030303,0.009900990099009901,0.004640371229698376,decomp+Chang+IQR,cbf-diff-count-2
0.3181818181818182,0.208955223880597,0.2522522522522523,Chang,cbf-diff-count-3
0.3076923076923077,0.19900497512437812,0.24169184290030216,decomp+Chang,cbf-diff-count-3
0.0678763440860215,0.5024875621890548,0.11959739490822972,decomp+IQR,cbf-diff-count-3
0.06551059730250482,0.5074626865671642,0.11604095563139931,decomp+Chang+IQR,cbf-diff-count-3
0.17647058823529413,0.07973421926910298,0.10983981693363844,Chang,cbf-diff-count-4
0.3055555555555556,0.1461794019933555,0.19775280898876407,decomp+Chang,cbf-diff-count-4
0.0016260162601626016,0.0033222591362126247,0.0021834061135371182,decomp+IQR,cbf-diff-count-4
0.058981233243967826,0.1461794019933555,0.08404966571155682,decomp+Chang+IQR,cbf-diff-count-4
0.3614457831325301,0.07481296758104738,0.12396694214876033,Chang,cbf-diff-count-5
0.06629834254143646,0.029925187032418952,0.041237113402061855,decomp+Chang,cbf-diff-count-5
0,0,0,decomp+IQR,cbf-diff-count-5
0.023255813953488372,0.029925187032418952,0.02617230098146129,decomp+Chang+IQR,cbf-diff-count-5
0.3625,0.05788423153692615,0.09982788296041308,Chang,cbf-diff-count-6
0.3055555555555556,0.08782435129740519,0.1364341085271318,decomp+Chang,cbf-diff-count-6
0,0,0,decomp+IQR,cbf-diff-count-6
0.16296296296296298,0.08782435129740519,0.11413748378728925,decomp+Chang+IQR,cbf-diff-count-6
0.3956043956043956,0.059900166389351084,0.10404624277456648,Chang,cbf-diff-count-7
0.08536585365853659,0.02329450915141431,0.036601307189542485,decomp+Chang,cbf-diff-count-7
0,0,0,decomp+IQR,cbf-diff-count-7
0.024390243902439025,0.02329450915141431,0.02382978723404255,decomp+Chang+IQR,cbf-diff-count-7
0.01020408163265306,1,0.020202020202020204,Chang,cbf-length-1
0.005235602094240838,1,0.010416666666666668,decomp+Chang,cbf-length-1
0,0,0,decomp+IQR,cbf-length-1
0.005235602094240838,1,0.010416666666666668,decomp+Chang+IQR,cbf-length-1
0.025252525252525252,0.5,0.04807692307692307,Chang,cbf-length-10
0.025252525252525252,0.5,0.04807692307692307,decomp+Chang,cbf-length-10
0,0,0,decomp+IQR,cbf-length-10
0.025252525252525252,0.5,0.04807692307692307,decomp+Chang+IQR,cbf-length-10
0.2054794520547945,0.45,0.28213166144200624,Chang,cbf-length-100
0.2054794520547945,0.45,0.28213166144200624,decomp+Chang,cbf-length-100
0,0,0,decomp+IQR,cbf-length-100
0.2054794520547945,0.45,0.28213166144200624,decomp+Chang+IQR,cbf-length-100
0.6363636363636364,0.252,0.3610315186246419,Chang,cbf-length-1000
0.6338383838383839,0.251,0.35959885386819485,decomp+Chang,cbf-length-1000
0,0,0,decomp+IQR,cbf-length-1000
0.6338383838383839,0.251,0.35959885386819485,decomp+Chang+IQR,cbf-length-1000
0.13471502590673576,0.52,0.2139917695473251,Chang,cbf-length-50
0.13471502590673576,0.52,0.2139917695473251,decomp+Chang,cbf-length-50
0,0,0,decomp+IQR,cbf-length-50
0.13471502590673576,0.52,0.2139917695473251,decomp+Chang+IQR,cbf-length-50
0.5686274509803921,0.29,0.3841059602649006,Chang,cbf-length-500
0.5363128491620112,0.384,0.44755244755244755,decomp+Chang,cbf-length-500
0,0,0,decomp+IQR,cbf-length-500
0.5363128491620112,0.384,0.44755244755244755,decomp+Chang+IQR,cbf-length-500
0.39080459770114945,0.34,0.3636363636363637,Chang,cbf-position-beginning
0.05056179775280899,0.09,0.06474820143884893,decomp+Chang,cbf-position-beginning
0,0,0,decomp+IQR,cbf-position-beginning
0.015957446808510637,0.09,0.027108433734939756,decomp+Chang+IQR,cbf-position-beginning
0.2608695652173913,0.18,0.21301775147928995,Chang,cbf-position-end
0.2047244094488189,0.26,0.22907488986784144,decomp+Chang,cbf-position-end
0,0,0,decomp+IQR,cbf-position-end
0.09187279151943463,0.26,0.13577023498694518,decomp+Chang+IQR,cbf-position-end
0.3918918918918919,0.29,0.3333333333333333,Chang,cbf-position-middle
0.33076923076923076,0.43,0.3739130434782608,decomp+Chang,cbf-position-middle
0.09915014164305949,0.35,0.15452538631346577,decomp+IQR,cbf-position-middle
0.13596491228070176,0.62,0.22302158273381298,decomp+Chang+IQR,cbf-position-middle
0.2676056338028169,0.19,0.2222222222222222,Chang,cbf-same-count-1
0.24444444444444444,0.33,0.28085106382978725,decomp+Chang,cbf-same-count-1
0,0,0,decomp+IQR,cbf-same-count-1
0.10410094637223975,0.33,0.15827338129496402,decomp+Chang+IQR,cbf-same-count-1
0.6983240223463687,0.125,0.21204410517387617,Chang,cbf-same-count-10
0.7,0.126,0.21355932203389832,decomp+Chang,cbf-same-count-10
0.09795918367346938,0.096,0.09696969696969698,decomp+IQR,cbf-same-count-10
0.18492550394390886,0.211,0.19710415693601122,decomp+Chang+IQR,cbf-same-count-10
0.42105263157894735,0.2,0.2711864406779661,Chang,cbf-same-count-2
0.391812865497076,0.335,0.36118598382749323,decomp+Chang,cbf-same-count-2
0,0,0,decomp+IQR,cbf-same-count-2
0.08101571946795647,0.335,0.13047711781889,decomp+Chang+IQR,cbf-same-count-2
0.6623376623376623,0.204,0.3119266055045872,Chang,cbf-same-count-5
0.650375939849624,0.346,0.4516971279373368,decomp+Chang,cbf-same-count-5
0,0,0,decomp+IQR,cbf-same-count-5
0.337890625,0.346,0.341897233201581,decomp+Chang+IQR,cbf-same-count-5
0.2892561983471074,0.35,0.31674208144796373,Chang,cbf-trend-linear
0.18536585365853658,0.38,0.2491803278688524,decomp+Chang,cbf-trend-linear
0,0,0,decomp+IQR,cbf-trend-linear
0.18536585365853658,0.38,0.2491803278688524,decomp+Chang+IQR,cbf-trend-linear
0.7391304347826086,0.17,0.2764227642276423,Chang,cbf-trend-quadratic
0,0,0,decomp+Chang,cbf-trend-quadratic
0,0,0,decomp+IQR,cbf-trend-quadratic
0,0,0,decomp+Chang+IQR,cbf-trend-quadratic
0.2677165354330709,0.34,0.2995594713656388,Chang,cbf-trend-sine
0.19383259911894274,0.44,0.26911314984709483,decomp+Chang,cbf-trend-sine
0,0,0,decomp+IQR,cbf-trend-sine
0.19383259911894274,0.44,0.26911314984709483,decomp+Chang+IQR,cbf-trend-sine
0.009708737864077669,0.01,0.009852216748768473,Chang,cbf-type-amplitude
0.014705882352941176,0.03,0.019736842105263157,decomp+Chang,cbf-type-amplitude
0,0,0,decomp+IQR,cbf-type-amplitude
0.014705882352941176,0.03,0.019736842105263157,decomp+Chang+IQR,cbf-type-amplitude
0.005128205128205128,1,0.010204081632653062,Chang,cbf-type-extremum
0.00510204081632653,1,0.01015228426395939,decomp+Chang,cbf-type-extremum
1,1,1,decomp+IQR,cbf-type-extremum
0.00510204081632653,1,0.01015228426395939,decomp+Chang+IQR,cbf-type-extremum
0.023529411764705882,0.02,0.02162162162162162,Chang,cbf-type-mean
0.023952095808383235,0.04,0.0299625468164794,decomp+Chang,cbf-type-mean
0,0,0,decomp+IQR,cbf-type-mean
0.023952095808383235,0.04,0.0299625468164794,decomp+Chang+IQR,cbf-type-mean
0.011494252873563218,0.01,0.0106951871657754,Chang,cbf-type-pattern
0.017543859649122806,0.03,0.022140221402214024,decomp+Chang,cbf-type-pattern
0,0,0,decomp+IQR,cbf-type-pattern
0.017543859649122806,0.03,0.022140221402214024,decomp+Chang+IQR,cbf-type-pattern
0,0,0,Chang,cbf-type-platform
0.005747126436781609,0.01,0.0072992700729927,decomp+Chang,cbf-type-platform
0,0,0,decomp+IQR,cbf-type-platform
0.005747126436781609,0.01,0.0072992700729927,decomp+Chang+IQR,cbf-type-platform
0.06818181818181818,0.06,0.06382978723404255,Chang,cbf-type-trend
0.08527131782945736,0.22,0.12290502793296088,decomp+Chang,cbf-type-trend
0.13916500994035785,0.7,0.23217247097844113,decomp+IQR,cbf-type-trend
0.10542168674698796,0.7,0.18324607329842935,decomp+Chang+IQR,cbf-type-trend
0.24311926605504589,0.53,0.33333333333333337,Chang,cbf-type-variance
0.23148148148148148,0.5,0.3164556962025316,decomp+Chang,cbf-type-variance
0,0,0,decomp+IQR,cbf-type-variance
0.23148148148148148,0.5,0.3164556962025316,decomp+Chang+IQR,cbf-type-variance
0,0,0,Chang,ecg-combined-diff-1
0,0,0,decomp+Chang,ecg-combined-diff-1
0,0,0,decomp+IQR,ecg-combined-diff-1
0,0,0,decomp+Chang+IQR,ecg-combined-diff-1
0.9836065573770492,0.08571428571428572,0.15768725361366623,Chang,ecg-combined-diff-2
0.6111111111111112,0.12571428571428572,0.20853080568720384,decomp+Chang,ecg-combined-diff-2
0.07056367432150314,0.24142857142857144,0.10920840064620357,decomp+IQR,ecg-combined-diff-2
0.09367493995196156,0.3342857142857143,0.14634146341463414,decomp+Chang+IQR,ecg-combined-diff-2
0.3114754098360656,0.18095238095238095,0.2289156626506024,Chang,ecg-combined-diff-3
0.9090909090909091,0.09523809523809523,0.1724137931034483,decomp+Chang,ecg-combined-diff-3
1,0.49523809523809526,0.6624203821656051,decomp+IQR,ecg-combined-diff-3
0.9811320754716981,0.49523809523809526,0.6582278481012659,decomp+Chang+IQR,ecg-combined-diff-3
0.8333333333333334,0.5,0.625,Chang,ecg-diff-count-1
0.7288135593220338,0.86,0.7889908256880733,decomp+Chang,ecg-diff-count-1
1,0.55,0.7096774193548387,decomp+IQR,ecg-diff-count-1
0.7398373983739838,0.91,0.8161434977578476,decomp+Chang+IQR,ecg-diff-count-1
0.9514563106796117,0.49,0.6468646864686469,Chang,ecg-diff-count-2
0.8443396226415094,0.895,0.8689320388349514,decomp+Chang,ecg-diff-count-2
1,0.625,0.7692307692307693,decomp+IQR,ecg-diff-count-2
0.8493150684931506,0.93,0.8878281622911695,decomp+Chang+IQR,ecg-diff-count-2
0.8,0.08,0.14545454545454545,Chang,ecg-diff-count-3
0.823321554770318,0.7766666666666666,0.7993138936535163,decomp+Chang,ecg-diff-count-3
0.9844559585492227,0.6333333333333333,0.7707910750507099,decomp+IQR,ecg-diff-count-3
0.8301282051282052,0.8633333333333333,0.8464052287581699,decomp+Chang+IQR,ecg-diff-count-3
0.21428571428571427,0.029900332225913623,0.052478134110787174,Chang,ecg-diff-count-4
0.7070422535211267,0.8338870431893688,0.7652439024390243,decomp+Chang,ecg-diff-count-4
0.9950980392156863,0.6744186046511628,0.8039603960396041,decomp+IQR,ecg-diff-count-4
0.7192513368983957,0.893687707641196,0.797037037037037,decomp+Chang+IQR,ecg-diff-count-4
0.10714285714285714,0.007481296758104738,0.013986013986013986,Chang,ecg-diff-count-5
0.7872340425531915,0.6458852867830424,0.7095890410958904,decomp+Chang,ecg-diff-count-5
0.9915966386554622,0.5885286783042394,0.7386541471048512,decomp+IQR,ecg-diff-count-5
0.806970509383378,0.7506234413965087,0.7777777777777778,decomp+Chang+IQR,ecg-diff-count-5
0.2912621359223301,0.059880239520958084,0.09933774834437084,Chang,ecg-diff-count-6
0.8621495327102804,0.7365269461077845,0.7944025834230356,decomp+Chang,ecg-diff-count-6
0.9938271604938271,0.6427145708582834,0.7806060606060605,decomp+IQR,ecg-diff-count-6
0.8713080168776371,0.8243512974051896,0.8471794871794871,decomp+Chang+IQR,ecg-diff-count-6
0.24742268041237114,0.03993344425956739,0.06876790830945559,Chang,ecg-diff-count-7
0.8353413654618473,0.6921797004991681,0.7570518653321202,decomp+Chang,ecg-diff-count-7
1,0.6289517470881864,0.7722165474974464,decomp+IQR,ecg-diff-count-7
0.856140350877193,0.8119800332778702,0.8334756618274978,decomp+Chang+IQR,ecg-diff-count-7
0.328125,0.05991440798858773,0.10132689987937274,Chang,ecg-diff-count-8
0.8330097087378641,0.6119828815977175,0.7055921052631579,decomp+Chang,ecg-diff-count-8
1,0.550641940085592,0.7102115915363385,decomp+IQR,ecg-diff-count-8
0.8561872909698997,0.7303851640513552,0.7882986913010009,decomp+Chang+IQR,ecg-diff-count-8
0.6193181818181818,0.13607990012484394,0.2231320368474923,Chang,ecg-diff-count-9
0.88,0.5493133583021224,0.6764027671022291,decomp+Chang,ecg-diff-count-9
1,0.5880149812734082,0.7405660377358491,decomp+IQR,ecg-diff-count-9
0.9032258064516129,0.6991260923845194,0.7881773399014778,decomp+Chang+IQR,ecg-diff-count-9
0.013157894736842105,1,0.025974025974025976,Chang,ecg-length-1
0.2,1,0.33333333333333337,decomp+Chang,ecg-length-1
0.125,1,0.2222222222222222,decomp+IQR,ecg-length-1
0.125,1,0.2222222222222222,decomp+Chang+IQR,ecg-length-1
0,0,0,Chang,ecg-length-10
1,0.5,0.6666666666666666,decomp+Chang,ecg-length-10
1,0.5,0.6666666666666666,decomp+IQR,ecg-length-10
1,0.5,0.6666666666666666,decomp+Chang+IQR,ecg-length-10
0.9411764705882353,0.16,0.27350427350427353,Chang,ecg-length-100
1,0.4,0.5714285714285715,decomp+Chang,ecg-length-100
1,0.43,0.6013986013986015,decomp+IQR,ecg-length-100
1,0.44,0.6111111111111112,decomp+Chang+IQR,ecg-length-100
1,0.023,0.044965786901270774,Chang,ecg-length-1000
1,0.317,0.48139711465451784,decomp+Chang,ecg-length-1000
0.9976798143851509,0.43,0.6009783368273934,decomp+IQR,ecg-length-1000
0.9976798143851509,0.43,0.6009783368273934,decomp+Chang+IQR,ecg-length-1000
0,0,0,Chang,ecg-length-50
1,0.56,0.717948717948718,decomp+Chang,ecg-length-50
1,0.58,0.7341772151898733,decomp+IQR,ecg-length-50
1,0.6,0.7499999999999999,decomp+Chang+IQR,ecg-length-50
1,0.134,0.23633156966490304,Chang,ecg-length-500
1,0.358,0.5272459499263622,decomp+Chang,ecg-length-500
0.9953271028037384,0.426,0.5966386554621849,decomp+IQR,ecg-length-500
0.9953703703703703,0.43,0.6005586592178771,decomp+Chang+IQR,ecg-length-500
0,0,0,Chang,ecg-noise-00%
0,0,0,decomp+Chang,ecg-noise-00%
0,0,0,decomp+IQR,ecg-noise-00%
0,0,0,decomp+Chang+IQR,ecg-noise-00%
0,0,0,Chang,ecg-noise-01%
0,0,0,decomp+Chang,ecg-noise-01%
0,0,0,decomp+IQR,ecg-noise-01%
0,0,0,decomp+Chang+IQR,ecg-noise-01%
0,0,0,Chang,ecg-noise-10%
0,0,0,decomp+Chang,ecg-noise-10%
0,0,0,decomp+IQR,ecg-noise-10%
0,0,0,decomp+Chang+IQR,ecg-noise-10%
0,0,0,Chang,ecg-noise-30%
0,0,0,decomp+Chang,ecg-noise-30%
0,0,0,decomp+IQR,ecg-noise-30%
0,0,0,decomp+Chang+IQR,ecg-noise-30%
0,0,0,Chang,ecg-noise-50%
0,0,0,decomp+Chang,ecg-noise-50%
0,0,0,decomp+IQR,ecg-noise-50%
0,0,0,decomp+Chang+IQR,ecg-noise-50%
0.46774193548387094,0.29,0.35802469135802467,Chang,ecg-same-count-1
0.46774193548387094,0.29,0.35802469135802467,decomp+Chang,ecg-same-count-1
0.009852216748768473,0.24,0.01892744479495268,decomp+IQR,ecg-same-count-1
0.01894397420395002,0.47,0.03641999225106547,decomp+Chang+IQR,ecg-same-count-1
0.453416149068323,0.073,0.12575366063738155,Chang,ecg-same-count-10
0.4567901234567901,0.074,0.12736660929432014,decomp+Chang,ecg-same-count-10
0.10028653295128939,0.245,0.14231774615161194,decomp+IQR,ecg-same-count-10
0.11695906432748537,0.3,0.16830294530154277,decomp+Chang+IQR,ecg-same-count-10
0.6025641025641025,0.235,0.33812949640287765,Chang,ecg-same-count-2
0.5897435897435898,0.23,0.33093525179856115,decomp+Chang,ecg-same-count-2
0.01943755169561621,0.235,0.03590527119938885,decomp+IQR,ecg-same-count-2
0.032661290322580645,0.405,0.06044776119402985,decomp+Chang+IQR,ecg-same-count-2
0.5803571428571429,0.13,0.2124183006535948,Chang,ecg-same-count-5
0.5877192982456141,0.134,0.21824104234527691,decomp+Chang,ecg-same-count-5
0.051106639839034206,0.254,0.08509212730318258,decomp+IQR,ecg-same-count-5
0.0676779463243874,0.348,0.11331813741452294,decomp+Chang+IQR,ecg-same-count-5
0.01,0.05,0.016666666666666666,Chang,ecg-trend-linear
0.5,0.01,0.0196078431372549,decomp+Chang,ecg-trend-linear
0.011011699931176875,0.32,0.021290751829673982,decomp+IQR,ecg-trend-linear
0.011011699931176875,0.32,0.021290751829673982,decomp+Chang+IQR,ecg-trend-linear
0.012048192771084338,0.05,0.01941747572815534,Chang,ecg-trend-quadratic
0,0,0,decomp+Chang,ecg-trend-quadratic
0.00493339911198816,0.1,0.009402914903620123,decomp+IQR,ecg-trend-quadratic
0.00493339911198816,0.1,0.009402914903620123,decomp+Chang+IQR,ecg-trend-quadratic
0,0,0,Chang,ecg-trend-sine
0.9692307692307692,0.63,0.7636363636363637,decomp+Chang,ecg-trend-sine
0,0,0,decomp+IQR,ecg-trend-sine
0.9692307692307692,0.63,0.7636363636363637,decomp+Chang+IQR,ecg-trend-sine
0.7638888888888888,0.55,0.6395348837209303,Chang,ecg-type-amplitude
0.7638888888888888,0.55,0.6395348837209303,decomp+Chang,ecg-type-amplitude
0.012673753066230581,0.31,0.024351924587588378,decomp+IQR,ecg-type-amplitude
0.026442307692307692,0.66,0.05084745762711864,decomp+Chang+IQR,ecg-type-amplitude
0.013888888888888888,1,0.0273972602739726,Chang,ecg-type-extremum
0.013888888888888888,1,0.0273972602739726,decomp+Chang,ecg-type-extremum
4.0966816878328555e-4,1,8.19000819000819e-4,decomp+IQR,ecg-type-extremum
4.0096230954290296e-4,1,0.00080160320641282565,decomp+Chang+IQR,ecg-type-extremum
0.43333333333333335,0.26,0.325,Chang,ecg-type-frequency
0.45,0.27,0.3375,decomp+Chang,ecg-type-frequency
0.010305028854080791,0.25,0.01979414093428345,decomp+IQR,ecg-type-frequency
0.01819652244237768,0.45,0.03497862417411582,decomp+Chang+IQR,ecg-type-frequency
1,0.95,0.9743589743589743,Chang,ecg-type-mean
0.49586776859504134,0.6,0.5429864253393666,decomp+Chang,ecg-type-mean
0.033631332481907195,0.79,0.06451612903225806,decomp+IQR,ecg-type-mean
0.03739094308267553,0.9,0.07179896290386917,decomp+Chang+IQR,ecg-type-mean
0.6493506493506493,0.5,0.5649717514124294,Chang,ecg-type-pattern-shift
0.6329113924050633,0.5,0.5586592178770949,decomp+Chang,ecg-type-pattern-shift
0.010616578195181707,0.26,0.020400156924284034,decomp+IQR,ecg-type-pattern-shift
0.025119617224880382,0.63,0.04831288343558282,decomp+Chang+IQR,ecg-type-pattern-shift
0,0,0,Chang,ecg-type-pattern
0,0,0,decomp+Chang,ecg-type-pattern
0.010113268608414239,0.25,0.019440124416796267,decomp+IQR,ecg-type-pattern
0.010113268608414239,0.25,0.019440124416796267,decomp+Chang+IQR,ecg-type-pattern
0.5070422535211268,0.36,0.4210526315789474,Chang,ecg-type-platform
0.49333333333333335,0.37,0.4228571428571429,decomp+Chang,ecg-type-platform
0,0,0,decomp+IQR,ecg-type-platform
0.014829659318637275,0.37,0.028516377649325627,decomp+Chang+IQR,ecg-type-platform
0.4429530201342282,0.66,0.5301204819277109,Chang,ecg-type-trend
0.0182370820668693,0.06,0.027972027972027972,decomp+Chang,ecg-type-trend
0.0347444089456869,0.87,0.06682027649769585,decomp+IQR,ecg-type-trend
0.03473053892215569,0.87,0.06679462571976967,decomp+Chang+IQR,ecg-type-trend
0.7,0.42,0.525,Chang,ecg-type-variance
0.7,0.42,0.525,decomp+Chang,ecg-type-variance
0.009259259259259259,0.22,0.01777059773828756,decomp+IQR,ecg-type-variance
0.02269913330581923,0.55,0.04359889021006738,decomp+Chang+IQR,ecg-type-variance
0,0,0,Chang,poly-combined-diff-1
0,0,0,decomp+Chang,poly-combined-diff-1
0,0,0,decomp+IQR,poly-combined-diff-1
0,0,0,decomp+Chang+IQR,poly-combined-diff-1
0.5,0.005714285714285714,0.01129943502824859,Chang,poly-combined-diff-2
0.5,0.005714285714285714,0.01129943502824859,decomp+Chang,poly-combined-diff-2
0.22172949002217296,0.5714285714285714,0.3194888178913738,decomp+IQR,poly-combined-diff-2
0.22148394241417496,0.5714285714285714,0.31923383878691136,decomp+Chang+IQR,poly-combined-diff-2
0.0017035775127768314,0.0380952380952381,0.0032613126783530367,Chang,poly-combined-diff-3
0.07692307692307693,0.0380952380952381,0.050955414012738856,decomp+Chang,poly-combined-diff-3
0.3333333333333333,0.01904761904761905,0.036036036036036036,decomp+IQR,poly-combined-diff-3
0.07142857142857142,0.0380952380952381,0.049689440993788823,decomp+Chang+IQR,poly-combined-diff-3
0.07692307692307693,1,0.14285714285714288,Chang,poly-diff-count-1
0.043478260869565216,1,0.08333333333333333,decomp+Chang,poly-diff-count-1
0.05,1,0.09523809523809523,decomp+IQR,poly-diff-count-1
0.043478260869565216,1,0.08333333333333333,decomp+Chang+IQR,poly-diff-count-1
0.02987281869269447,1,0.05801263641585296,Chang,poly-diff-count-2
0.03225806451612903,0.009900990099009901,0.015151515151515152,decomp+Chang,poly-diff-count-2
0.07692307692307693,0.009900990099009901,0.017543859649122806,decomp+IQR,poly-diff-count-2
0.03225806451612903,0.009900990099009901,0.015151515151515152,decomp+Chang+IQR,poly-diff-count-2
0.016324551478907386,0.5024875621890548,0.031621790857858476,Chang,poly-diff-count-3
0.030303030303030304,0.004975124378109453,0.008547008547008546,decomp+Chang,poly-diff-count-3
0.045454545454545456,0.004975124378109453,0.008968609865470852,decomp+IQR,poly-diff-count-3
0.027777777777777776,0.004975124378109453,0.008438818565400845,decomp+Chang+IQR,poly-diff-count-3
0.5,0.03986710963455149,0.07384615384615384,Chang,poly-diff-count-4
0.5,0.0033222591362126247,0.006600660066006601,decomp+Chang,poly-diff-count-4
0.1669449081803005,0.6644518272425249,0.266844563042028,decomp+IQR,poly-diff-count-4
0.1669449081803005,0.6644518272425249,0.266844563042028,decomp+Chang+IQR,poly-diff-count-4
0.5,0.029925187032418952,0.05647058823529411,Chang,poly-diff-count-5
